Date,AVGO,dayofweek,weekly_ret
2017-04-28,192.51922080357784,4,-0.0027033218785798008
2017-05-05,197.4366086271917,4,0.014472112468988607
2017-05-12,205.72816149998744,4,0.02554232145283275
2017-05-19,204.1064697709233,4,0.04199602561271809
2017-05-26,210.30551718686212,4,-0.00788269198169178
2017-06-02,221.91892247241825,4,0.03037163605296911
2017-06-09,212.16261577982263,4,0.05522159114464564
2017-06-16,206.8638187419453,4,-0.043963383491140595
2017-06-23,214.75310131068576,4,-0.024975168308521867
2017-06-30,204.0618537896735,4,0.03813756613756625
2017-07-07,209.81463808230663,4,-0.0497839027970316
2017-07-14,219.1574399700381,4,0.028191375241364502
2017-07-21,221.62667158422767,4,0.04452883732576596
2017-07-28,219.22748909384492,4,0.011266930360781524
2017-08-04,218.17675223674289,4,-0.01082533285923104
2017-08-11,213.79868199881818,4,-0.004792906498382821
2017-08-18,218.35187504625995,4,-0.02006662118232505
2017-08-25,215.04205394638882,4,0.02129663758856548
2017-09-01,221.2939382461454,4,-0.015158198660624844
2017-09-08,213.7461451559631,4,0.029072844985545077
2017-09-15,219.3850996224102,4,-0.03410754560202589
2017-09-22,210.33720673301272,4,0.02638154930154446
2017-09-29,213.2385308519684,4,-0.04124205748234522
2017-10-06,216.05193605822842,4,0.013793679986624507
2017-10-13,218.0037359200712,4,0.013193700008246267
2017-10-20,214.733152367794,4,0.009033938308781186
2017-10-27,222.34693020723512,4,-0.015002419745119955
2017-11-03,240.57252080903808,4,0.035456927612184774
2017-11-10,232.94995107832744,4,0.08196915776986935
2017-11-17,239.01635605432557,4,-0.03168512224536768
2017-11-24,248.26542566990528,4,0.02604166666666674
2017-12-01,238.75259931623867,4,0.03869638784668572
2017-12-08,228.51004598719842,4,-0.038317161272044764
2017-12-15,233.62692670608376,4,-0.042900279864486524
2017-12-22,232.1819769317994,4,0.022392366588434465
2017-12-29,227.3586806700181,4,-0.00618485974479388
2018-01-05,240.38600561926944,4,-0.020773775490756985
2018-01-12,233.89889339929582,4,0.057298559750875944
2018-01-19,235.75741122493625,4,-0.026986230763566654
2018-01-26,221.95127880589268,4,0.007945817094857643
2018-02-02,208.40179884848527,4,-0.058560756785164814
2018-02-09,208.41949901825328,4,-0.0610470911918336
2018-02-16,220.26976267793228,4,8.493290300659595e-05
2018-02-23,224.5355035920214,4,0.0568577494692144
2018-03-02,222.02207948496476,4,0.019365984973281458
2018-03-09,224.5974541862094,4,-0.011193882779551467
2018-03-16,225.56211343856566,4,0.011599633276198729
2018-03-23,216.1234619338224,4,0.004295058712270539
2018-04-06,203.99281067631944,4,-0.04184502158122394
2018-04-13,220.09867902481895,4,-0.05612834048168913
2018-04-20,211.34607099038257,4,0.07895311749027822
2018-04-27,207.47781041304512,4,-0.03976674495828936
2018-05-04,205.46346273913207,4,-0.018302968960863586
2018-05-11,216.92563578626567,4,-0.009708737864077666
2018-05-18,210.3388971534261,4,0.05578691653652612
2018-05-25,222.85280925154083,4,-0.030364039773194018
2018-06-01,228.4769392614485,4,0.059494046357896346
2018-06-08,229.92976523865133,4,0.025236971563412203
2018-06-15,240.85715571748943,4,0.006358742295389019
2018-06-22,233.03300529679348,4,0.04752490599682124
2018-06-29,217.71640832164329,4,-0.03248460855310109
2018-07-06,222.23870760428866,4,-0.06572715721381528
2018-07-13,181.66363348499797,4,0.020771513353115667
2018-07-20,188.7252397061129,4,-0.18257428940568443
2018-07-27,198.34409849777137,4,0.038871875926108634
2018-08-03,195.43690610178504,4,0.05096752721913189
2018-08-10,190.4300747531419,4,-0.014657317349015986
2018-08-17,187.77412120619144,4,-0.02561865846379885
2018-08-24,187.53185517319253,4,-0.013947132827592634
2018-08-31,196.53158965829843,4,-0.0012901992641088933
2018-09-07,208.68975538842645,4,0.047990430622009805
2018-09-14,212.06353421833649,4,0.06186367164315376
2018-09-21,224.24063257907397,4,0.01616648035084678
2018-09-28,223.0023832173918,4,0.05742193444819321
2018-10-05,220.74280409023467,4,-0.005521966948811241
2018-10-12,210.5475830685017,4,-0.01013253353868604
2018-10-19,206.32668925897218,4,-0.04618597223928256
2018-10-26,192.6517163814172,4,-0.020047220433569435
2018-11-02,199.53891356099217,4,-0.06627825477483795
2018-11-09,216.00672623971332,4,0.035749472202674326
2018-11-16,214.7594385615226,4,0.08252932916610023
2018-11-23,207.79089653337002,4,-0.005774300179923864
