Date,BRK_B,dayofweek,weekly_ret
2020-08-07,209.48,4,0.006477483035163489
2020-08-14,210.96,4,0.06997650423945245
2020-08-21,207.43,4,0.007065113614664886
2020-08-28,218.55,4,-0.01673302995828596
2020-09-04,218.32,4,0.053608446222822126
2020-09-11,217.93,4,-0.0010523907572638214
2020-09-18,218.21,4,-0.0017863686331989204
2020-09-25,210.45,4,0.001284816225393559
2020-10-02,211.18,4,-0.035562073232207614
2020-10-09,215.68,4,0.0034687574245664266
2020-10-16,211.91,4,0.02130883606402123
2020-10-23,212.71,4,-0.017479599406528212
2020-10-30,201.9,4,0.0037751875796330214
2020-11-06,208.85,4,-0.050820365756193864
2020-11-13,227.42,4,0.034422981674095965
2020-11-20,227.01,4,0.08891548958582707
2020-11-27,231.55,4,-0.0018028317650162773
2020-12-04,231.35,4,0.01999911898154272
2020-12-11,226.39,4,-0.000863744331677907
2020-12-18,223.43,4,-0.02143937756645775
2021-01-08,234.03,4,-0.013074782455055334
2021-01-15,233.49,4,0.04744215190439949
2021-01-22,232.92,4,-0.002307396487629787
2021-01-29,227.87,4,-0.0024412180393165173
2021-02-05,235.16,4,-0.02168126395328862
2021-02-12,242.46,4,0.03199192522052052
2021-02-19,241.85,4,0.031042694335771337
2021-02-26,240.51,4,-0.002515878907861202
2021-03-05,253.15,4,-0.005540624353938428
2021-03-12,260.02,4,0.05255498731861463
2021-03-19,250.99,4,0.02713806043847522
