Date,INTC,dayofweek,weekly_ret
2018-06-22,49.083536150309,4,0.0010899182561305842
2018-06-29,46.47509680060686,4,-0.047359825802939404
2018-07-06,48.02707146745473,4,-0.05314285714285716
2018-07-13,48.82175729084069,4,0.03339368336350845
2018-07-20,48.53193069642935,4,0.01654662254233985
2018-07-27,44.577200069461576,4,-0.005936422826503085
2018-08-03,46.40030284075878,4,-0.08148718936621113
2018-08-10,45.94897894359226,4,0.04089765100671183
2018-08-17,44.302904979389886,4,-0.009726744644650731
2018-08-24,44.82964864793464,4,-0.03582395087001
2018-08-31,45.5539211921837,4,0.011889596602972174
2018-09-07,43.69150607840042,4,0.016156105749056016
2018-09-14,42.83554761701518,4,-0.04088374974189568
2018-09-21,43.88903495410471,4,-0.019590958019375715
2018-09-28,44.481621581217574,4,0.024593763724198636
2018-10-05,44.23706202082179,4,0.013501928846978206
2018-10-12,42.21474257908743,4,-0.005497991118629808
2018-10-19,41.387002528517094,4,-0.04571550074420594
2018-10-26,42.97663967108967,4,-0.01960784313725472
2018-11-02,44.31231111632818,4,0.038409090909090615
2018-11-09,45.54024496768292,4,0.03107901072444741
2018-11-16,46.22178677555512,4,0.027710896146472264
2018-11-23,44.05410519218381,4,0.014965703595925861
2018-11-30,46.67614798080327,4,-0.0468973991398729
2018-12-07,43.77012943890372,4,0.05951869359690609
2018-12-14,45.30359850661618,4,-0.06225917663759917
2018-12-21,42.444909256929996,4,0.03503460207612452
2018-12-28,44.252888219479864,4,-0.06310071040534893
2019-01-04,44.697783566285345,4,0.042595896520963406
2019-01-11,46.31644535998182,4,0.010053475935829281
2019-01-18,46.56255767949123,4,0.03621346886912313
2019-01-25,44.52739811431729,4,0.0053137134682199605
2019-02-01,46.12712819112843,4,-0.043708070746086514
2019-02-08,46.523093206737464,4,0.035926870748299145
2019-02-15,49.2093160331707,4,0.0085842113120147
2019-02-22,49.99994190052517,4,0.057739557739557634
2019-03-01,50.771516542160256,4,0.01606658923732107
2019-03-08,49.990416287665475,4,0.015431510763955103
2019-03-15,51.75265466670857,4,-0.015384615384615552
2019-03-22,50.733414090721475,4,0.03525152439024404
2019-03-29,51.15254105654794,4,-0.019694459782809037
2019-04-05,52.96240749988949,4,0.008261359369132526
2019-04-12,53.74350775438427,4,0.035381750465549366
2019-04-26,49.942788223367025,4,0.01474820143884914
2019-05-03,49.29504654890794,4,-0.07071960297766733
2019-05-10,44.278980072354834,4,-0.012969673850848795
2019-05-17,43.02345055082269,4,-0.10175599431834248
2019-05-24,42.7167563165553,4,-0.028354978354978466
2019-05-31,42.20879399104993,4,-0.007128536422365661
2019-06-07,44.11604876040028,4,-0.011891406775858204
2019-06-14,44.26939587753397,4,0.045186194368755705
2019-06-21,45.48658861978269,4,0.003475993917010367
2019-06-28,45.87954060743778,4,0.027495128815761216
2019-07-05,46.08080869867575,4,0.008638853771597121
2019-07-12,47.84430054571328,4,0.004386881136410947
2019-07-19,48.17974736444322,4,0.03826955074875249
2019-07-26,49.44486108079622,4,0.0070112179487176185
2019-08-02,46.65586038792711,4,0.026258205689277947
2019-08-09,44.36372958043321,4,-0.05640628028687744
2019-08-16,44.86545075011187,4,-0.04912846507246127
2019-08-23,43.379584209140425,4,0.011309264897781501
2019-08-30,45.74346279704954,4,-0.03311827956989244
2019-09-06,49.13008069238058,4,0.05449288256227747
2019-09-13,50.693135105610274,4,0.07403501371018817
2019-09-20,48.937111011734935,4,0.03181461115475237
2019-09-27,48.99500191592862,4,-0.03464027407689363
2019-10-04,49.13008069238058,4,0.0011829652996844242
2019-10-11,50.25895332415758,4,0.0027569909413156513
2019-10-18,49.55461398980098,4,0.022977219167321206
2019-10-25,54.47534084626487,4,-0.014014206181608979
2019-11-01,54.52358326642628,4,0.099299065420561
2019-11-08,56.52917896797729,4,0.0008855827134253147
2019-11-15,56.22844024341793,4,0.03678400393735659
2019-11-22,55.888896522141245,4,-0.005320061781362906
2019-11-29,56.315751486031935,4,-0.006038647342995307
2019-12-06,55.11279658779456,4,0.007637562923103802
2019-12-13,56.06351900736926,4,-0.0213608957795004
2019-12-20,57.18886391217197,4,0.017250484069705863
2019-12-27,58.285105069436675,4,0.02007267693372561
2020-01-03,58.304507567795326,4,0.01916878710771841
2020-01-10,57.17916266299262,4,0.00033288948069221114
2020-01-17,57.81944510882865,4,-0.01930116472545762
2020-01-24,66.42445313089762,4,0.011197828299966295
2020-01-31,62.02008600348013,4,0.14882550335570466
2020-02-07,64.3626824603637,4,-0.0663064115671097
2020-02-14,65.58130337941027,4,0.0377715770460576
2020-02-21,62.72485594516513,4,0.018933656467737148
2020-02-28,54.12626674037252,4,-0.04355581983053336
2020-03-06,54.36999092418182,4,-0.13708423997513208
2020-03-13,53.0636292989639,4,0.004502881844380191
2020-03-20,44.67951737592349,4,-0.024027254796485487
2020-03-27,51.05534202437515,4,-0.15800110233327214
2020-04-03,52.77116027839273,4,0.142701287366354
2020-04-17,58.844766938920834,4,0.033607026923811345
2020-04-24,57.77238053015986,4,0.11509329392203949
2020-05-01,56.02731537408516,4,-0.01822398939695158
2020-05-08,58.49646786553802,4,-0.030205872426594782
2020-05-15,57.133805047822285,4,0.04407051230220005
2020-05-22,61.03062857330435,4,-0.02329478800067042
2020-05-29,61.69235332291449,4,0.06820521619766673
2020-06-05,63.074622799877936,4,0.010842502610231897
